respondentid,do_you_typically_check_a_daily_weather_report,how_do_you_typically_check_the_weather,a_specific_website_or_app_please_provide_the_answer,if_you_had_a_smartwatch_like_the_soon_to_be_released_apple_watch_how_likely_or_unlikely_would_you_be_to_check_the_weather_on_that_device,age,what_is_your_gender,how_much_total_combined_money_did_all_members_of_your_household_earn_last_year,us_region
3877965710,True,A specific website or app (please provide the answer),m.accuweather.com,Very likely,45 - 59,Female,"$100,000 to $124,999",Mountain
3877965544,True,Local TV News,-,Very unlikely,60+,Male,"$75,000 to $99,999",Mountain
3877961612,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877960106,False,Internet search,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",Pacific
3877958234,False,A specific website or app (please provide the answer),National Weather Service,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",Mountain
3877957277,True,Internet search,-,Very likely,45 - 59,Female,Prefer not to answer,East South Central
3877955881,False,Local TV News,-,Very unlikely,45 - 59,Female,"$125,000 to $149,999",West South Central
3877955839,True,Local TV News,-,Very likely,18 - 29,Female,"$10,000 to $24,999",Middle Atlantic
3877955798,True,The default weather app on your phone,-,Very likely,60+,Male,"$50,000 to $74,999",West North Central
3877954334,True,The default weather app on your phone,-,Very unlikely,45 - 59,Female,"$175,000 to $199,999",Middle Atlantic
3877953647,True,Internet search,-,Very likely,60+,Female,"$75,000 to $99,999",Pacific
3877950102,True,The default weather app on your phone,-,Very likely,60+,Female,Prefer not to answer,East North Central
3877949696,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,Prefer not to answer,South Atlantic
3877949284,True,The Weather Channel,-,Very likely,60+,Male,"$100,000 to $124,999",Mountain
3877948332,True,Local TV News,-,Very likely,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
3877946979,True,A specific website or app (please provide the answer),weather channel,Very unlikely,30 - 44,Female,"$150,000 to $174,999",Pacific
3877946354,True,Local TV News,-,Very unlikely,60+,Male,"$200,000 and up",Pacific
3877945582,True,Internet search,-,Very likely,45 - 59,Female,Prefer not to answer,South Atlantic
3877943483,False,Local TV News,-,Very unlikely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877943300,True,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",New England
3877942496,False,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3877941352,True,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",East South Central
3877941272,False,-,-,-,-,-,-,-
3877941245,True,Internet search,-,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",Middle Atlantic
3877939977,True,The Weather Channel,-,Very likely,60+,Female,"$50,000 to $74,999",West South Central
3877939933,True,The Weather Channel,-,Very likely,45 - 59,Male,"$125,000 to $149,999",East North Central
3877939431,True,A specific website or app (please provide the answer),Google App,Very likely,18 - 29,Female,"$25,000 to $49,999",Pacific
3877937093,True,Internet search,-,Very likely,18 - 29,Female,Prefer not to answer,West South Central
3877936279,True,A specific website or app (please provide the answer),Accuweather,Very likely,60+,Female,Prefer not to answer,East North Central
3877934942,True,-,-,-,-,-,-,-
3877934726,True,Radio weather,-,Somewhat likely,45 - 59,Female,"$75,000 to $99,999",Pacific
3877934192,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$200,000 and up",Mountain
3877934039,True,The Weather Channel,-,Very likely,45 - 59,Female,"$175,000 to $199,999",West South Central
3877934025,True,A specific website or app (please provide the answer),Accuweather,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Middle Atlantic
3877933879,True,Local TV News,-,Very unlikely,60+,Male,Prefer not to answer,East South Central
3877933017,True,A specific website or app (please provide the answer),The Weather Channel app on my phone.,Very likely,45 - 59,Male,"$75,000 to $99,999",East North Central
3877930386,True,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",Pacific
3877930133,True,Local TV News,-,Very likely,60+,Female,Prefer not to answer,South Atlantic
3877926515,True,Local TV News,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",New England
3877926252,True,Radio weather,-,Very unlikely,60+,Male,"$200,000 and up",West South Central
3877922131,True,The Weather Channel,-,Somewhat likely,45 - 59,Female,"$0 to $9,999",East North Central
3877921800,True,Internet search,-,Somewhat likely,60+,Male,"$125,000 to $149,999",Pacific
3877921461,False,Local TV News,-,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877920147,False,Internet search,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3877919152,True,Local TV News,-,Somewhat likely,60+,Female,"$125,000 to $149,999",East North Central
3877918818,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$150,000 to $174,999",Pacific
3877916763,True,A specific website or app (please provide the answer),weather channel,Very likely,60+,Male,"$125,000 to $149,999",West North Central
3877914049,True,Internet search,-,Very likely,45 - 59,Female,"$200,000 and up",East South Central
3877912517,True,Newsletter,-,Very likely,60+,Male,"$75,000 to $99,999",West South Central
3877911586,True,Local TV News,-,Somewhat likely,60+,Female,Prefer not to answer,New England
3877906211,True,A specific website or app (please provide the answer),WEatherbug,Somewhat likely,30 - 44,Female,Prefer not to answer,East North Central
3877905346,False,Local TV News,-,Very unlikely,45 - 59,Female,"$150,000 to $174,999",Mountain
3877904337,True,The default weather app on your phone,-,Very likely,45 - 59,Male,"$75,000 to $99,999",West South Central
3877903810,False,Local TV News,-,Very likely,45 - 59,Female,Prefer not to answer,East North Central
3877903803,True,Newspaper,-,Very likely,45 - 59,Female,Prefer not to answer,Pacific
3877903037,True,A specific website or app (please provide the answer),weatherbug,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877902471,False,The Weather Channel,-,Very unlikely,18 - 29,Female,Prefer not to answer,South Atlantic
3877902073,True,A specific website or app (please provide the answer),DirecTv Weather App,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3877901837,True,Internet search,-,Very unlikely,60+,Female,"$75,000 to $99,999",East North Central
3877897238,True,A specific website or app (please provide the answer),The Weather Channel app,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877896109,True,Radio weather,-,Very unlikely,60+,Female,"$200,000 and up",Pacific
3877893918,True,Local TV News,-,Very likely,60+,Male,"$75,000 to $99,999",East South Central
3877893684,True,Internet search,-,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3877893604,True,Internet search,-,Somewhat likely,18 - 29,Female,Prefer not to answer,West South Central
3877890420,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$100,000 to $124,999",Pacific
3877890013,False,A specific website or app (please provide the answer),iphone,Very unlikely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877889922,True,A specific website or app (please provide the answer),smart phone,Very unlikely,60+,Male,"$50,000 to $74,999",South Atlantic
3877885176,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$75,000 to $99,999",East North Central
3877885125,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",West North Central
3877885019,True,Local TV News,-,Somewhat likely,60+,Female,Prefer not to answer,West South Central
3877884613,True,The Weather Channel,-,Very likely,45 - 59,Female,"$50,000 to $74,999",Pacific
3877884192,False,Local TV News,-,Very unlikely,60+,Female,"$25,000 to $49,999",Pacific
3877880332,False,Local TV News,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",East North Central
3877877032,True,A specific website or app (please provide the answer),Weather app,Very likely,18 - 29,Female,"$125,000 to $149,999",Pacific
3877874628,True,A specific website or app (please provide the answer),accuweather,Very unlikely,60+,Female,Prefer not to answer,East North Central
3877873676,True,Radio weather,-,Very unlikely,45 - 59,Male,"$25,000 to $49,999",East South Central
3877871653,True,A specific website or app (please provide the answer),basic weather app on my iPhone,Very likely,45 - 59,Female,"$150,000 to $174,999",East North Central
3877871578,True,Local TV News,-,Very likely,18 - 29,Female,"$0 to $9,999",East North Central
3877871132,True,A specific website or app (please provide the answer),phone,Very unlikely,18 - 29,Female,"$0 to $9,999",West South Central
3877870133,True,The default weather app on your phone,-,Somewhat likely,60+,Female,"$50,000 to $74,999",West South Central
3877870026,True,The default weather app on your phone,-,Somewhat likely,60+,Male,"$100,000 to $124,999",Middle Atlantic
3877869125,True,The Weather Channel,-,Very likely,18 - 29,Female,"$25,000 to $49,999",South Atlantic
3877867553,True,A specific website or app (please provide the answer),Weather Bug,Somewhat likely,60+,Female,"$25,000 to $49,999",Mountain
3877865436,True,Local TV News,-,Very likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877864574,False,Newspaper,-,Somewhat likely,45 - 59,Female,"$125,000 to $149,999",Pacific
3877862817,True,Internet search,-,Very unlikely,45 - 59,Female,Prefer not to answer,Mountain
3877862354,True,A specific website or app (please provide the answer),WeatherBug,Very likely,45 - 59,Female,"$50,000 to $74,999",South Atlantic
3877861603,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877860767,True,Local TV News,-,Somewhat likely,45 - 59,Male,"$10,000 to $24,999",West South Central
3877860097,False,Local TV News,-,Somewhat likely,60+,Female,"$25,000 to $49,999",Pacific
3877860035,False,The default weather app on your phone,-,Somewhat unlikely,30 - 44,Female,"$125,000 to $149,999",Mountain
3877859415,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$10,000 to $24,999",West North Central
3877857384,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$50,000 to $74,999",South Atlantic
3877857065,False,Internet search,-,Somewhat unlikely,30 - 44,Female,"$75,000 to $99,999",-
3877856635,True,Local TV News,-,Very likely,30 - 44,Female,"$50,000 to $74,999",West South Central
3877856424,True,A specific website or app (please provide the answer),the weather channel app,Somewhat likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877856090,True,The default weather app on your phone,-,Somewhat likely,30 - 44,Male,"$25,000 to $49,999",East North Central
3877855838,False,The Weather Channel,-,Very likely,30 - 44,Female,"$100,000 to $124,999",Pacific
3877854283,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$75,000 to $99,999",South Atlantic
3877854113,True,The Weather Channel,-,Very likely,45 - 59,Male,"$50,000 to $74,999",West North Central
3877853409,True,A specific website or app (please provide the answer),weather bug,Very likely,45 - 59,Male,"$100,000 to $124,999",East North Central
3877851546,True,The Weather Channel,-,Very likely,45 - 59,Female,"$25,000 to $49,999",East South Central
3877851313,True,The Weather Channel,-,Somewhat likely,60+,Female,Prefer not to answer,Mountain
3877850546,True,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$0 to $9,999",Middle Atlantic
3877849360,True,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,New England
3877849287,True,Local TV News,-,Very unlikely,45 - 59,Male,Prefer not to answer,Pacific
3877844428,True,Local TV News,-,Very likely,60+,Female,"$25,000 to $49,999",East North Central
3877840278,True,A specific website or app (please provide the answer),Bing,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3877839221,True,The Weather Channel,-,Very likely,60+,Male,"$50,000 to $74,999",South Atlantic
3877838876,True,A specific website or app (please provide the answer),Weather Channel App,Somewhat likely,30 - 44,Female,"$175,000 to $199,999",East North Central
3877838258,True,The Weather Channel,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",East North Central
3877835456,True,Local TV News,-,Somewhat likely,60+,Female,"$125,000 to $149,999",West South Central
3877834333,True,The default weather app on your phone,-,Very unlikely,60+,Female,"$50,000 to $74,999",East North Central
3877833661,True,Newspaper,-,Very likely,60+,Female,Prefer not to answer,South Atlantic
3877833303,True,Local TV News,-,Very likely,60+,Female,Prefer not to answer,Middle Atlantic
3877831288,False,Internet search,-,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877829146,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$150,000 to $174,999",East North Central
3877828834,True,The Weather Channel,-,Very unlikely,30 - 44,Female,Prefer not to answer,West South Central
3877828401,True,The default weather app on your phone,-,Very likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877828113,True,Newspaper,-,Somewhat likely,60+,Male,"$200,000 and up",East North Central
3877825838,True,Local TV News,-,Somewhat likely,60+,Female,"$125,000 to $149,999",Pacific
3877825768,True,The default weather app on your phone,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3877825397,True,The default weather app on your phone,-,Somewhat unlikely,60+,Female,"$150,000 to $174,999",Pacific
3877825092,True,Internet search,-,Somewhat unlikely,45 - 59,Female,"$75,000 to $99,999",Middle Atlantic
3877825091,True,The Weather Channel,-,Somewhat unlikely,45 - 59,Female,"$10,000 to $24,999",New England
3877823647,True,Local TV News,-,Very unlikely,60+,Female,"$10,000 to $24,999",West South Central
3877823634,False,Local TV News,-,Somewhat unlikely,60+,Male,"$50,000 to $74,999",Mountain
3877823022,True,The Weather Channel,-,Somewhat unlikely,60+,Female,"$10,000 to $24,999",Mountain
3877822759,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",East North Central
3877821639,False,Local TV News,-,Very likely,45 - 59,Female,"$100,000 to $124,999",West South Central
3877821152,True,The Weather Channel,-,Somewhat likely,18 - 29,Female,Prefer not to answer,New England
3877820317,False,Radio weather,-,Somewhat likely,30 - 44,Female,Prefer not to answer,South Atlantic
3877817207,True,A specific website or app (please provide the answer),weather.com,Very likely,60+,Female,"$150,000 to $174,999",New England
3877815508,True,The Weather Channel,-,Somewhat likely,60+,Female,"$100,000 to $124,999",Pacific
3877813621,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$0 to $9,999",Middle Atlantic
3877813587,False,Local TV News,-,Somewhat likely,18 - 29,Female,Prefer not to answer,South Atlantic
3877813322,True,Local TV News,-,Very likely,60+,Male,"$25,000 to $49,999",Pacific
3877812497,False,Local TV News,-,Somewhat likely,18 - 29,Female,Prefer not to answer,West North Central
3877806850,True,Local TV News,-,Very likely,45 - 59,Female,"$200,000 and up",Middle Atlantic
3877806666,False,A specific website or app (please provide the answer),Talk to my mother.,Somewhat unlikely,45 - 59,Female,Prefer not to answer,Pacific
3877804843,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$25,000 to $49,999",South Atlantic
3877803376,False,A specific website or app (please provide the answer),i look outside,Somewhat likely,30 - 44,Female,"$50,000 to $74,999",Pacific
3877803055,True,Local TV News,-,Very unlikely,18 - 29,Female,"$50,000 to $74,999",East North Central
3877800395,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",Pacific
3877799311,True,A specific website or app (please provide the answer),The Weather Channel,Very likely,45 - 59,Female,"$100,000 to $124,999",South Atlantic
3877795231,True,The Weather Channel,-,Somewhat likely,60+,Male,"$100,000 to $124,999",Pacific
3877794938,True,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$0 to $9,999",West North Central
3877794732,True,Local TV News,-,Somewhat likely,45 - 59,Male,"$0 to $9,999",South Atlantic
3877793419,True,Local TV News,-,Somewhat unlikely,60+,Male,"$150,000 to $174,999",East North Central
3877792799,True,Internet search,-,Somewhat likely,60+,Male,"$100,000 to $124,999",East South Central
3877791725,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$50,000 to $74,999",East North Central
3877791459,True,A specific website or app (please provide the answer),weather.com,Very likely,30 - 44,Female,Prefer not to answer,East North Central
3877791359,False,Internet search,-,Somewhat unlikely,60+,Female,Prefer not to answer,Pacific
3877791126,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",Pacific
3877789580,True,Internet search,-,Very likely,45 - 59,Female,Prefer not to answer,West South Central
3877789311,True,Local TV News,-,Very likely,60+,Male,"$125,000 to $149,999",East North Central
3877788831,True,A specific website or app (please provide the answer),Weather.com,Somewhat likely,60+,Female,"$75,000 to $99,999",East North Central
3877788097,True,The Weather Channel,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3877785851,True,A specific website or app (please provide the answer),Weather Channel App in IPhone,Somewhat likely,60+,Female,Prefer not to answer,South Atlantic
3877783718,True,Newspaper,-,Very likely,60+,Male,Prefer not to answer,East North Central
3877783251,True,A specific website or app (please provide the answer),The Weather Channel app,Very unlikely,60+,Male,Prefer not to answer,East North Central
3877781305,True,Local TV News,-,Very unlikely,60+,Male,"$25,000 to $49,999",Middle Atlantic
3877781123,True,Radio weather,-,Very likely,45 - 59,Male,"$175,000 to $199,999",New England
3877779376,True,A specific website or app (please provide the answer),Weather Channel,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",South Atlantic
3877778622,True,Local TV News,-,Somewhat likely,30 - 44,Female,"$25,000 to $49,999",West North Central
3877777746,True,A specific website or app (please provide the answer),The weather app on the iPhone ,Very likely,18 - 29,Female,"$75,000 to $99,999",New England
3877775605,True,Local TV News,-,Very likely,60+,Female,"$75,000 to $99,999",Mountain
3877775230,False,Local TV News,-,Very likely,45 - 59,Female,Prefer not to answer,East North Central
3877775208,True,Local TV News,-,Very likely,60+,Male,"$100,000 to $124,999",South Atlantic
3877771309,True,Local TV News,-,Very likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3877771155,True,A specific website or app (please provide the answer),The weather channel iPad app,Very likely,60+,Female,"$50,000 to $74,999",West South Central
3877769359,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",South Atlantic
3877768869,True,A specific website or app (please provide the answer),weather underground,Somewhat likely,18 - 29,Female,"$150,000 to $174,999",Middle Atlantic
3877767444,True,The default weather app on your phone,-,Very likely,45 - 59,Female,Prefer not to answer,West North Central
3877767366,True,Internet search,-,Very likely,60+,Male,"$100,000 to $124,999",Middle Atlantic
3877764882,True,Local TV News,-,Somewhat likely,60+,Female,"$75,000 to $99,999",West South Central
3877762163,True,Local TV News,-,Very likely,45 - 59,Male,"$25,000 to $49,999",West South Central
3877760068,False,A specific website or app (please provide the answer),My husband usually informs me about the next day's weather.,Somewhat likely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877755586,True,Local TV News,-,Somewhat likely,60+,Male,"$10,000 to $24,999",Pacific
3877755146,True,The Weather Channel,-,Somewhat likely,60+,Male,"$50,000 to $74,999",West North Central
3877754981,True,Local TV News,-,Very likely,45 - 59,Male,"$50,000 to $74,999",Middle Atlantic
3877754345,True,Local TV News,-,Very unlikely,60+,Female,Prefer not to answer,Middle Atlantic
3877754281,True,A specific website or app (please provide the answer),weather underground,Very likely,45 - 59,Female,"$175,000 to $199,999",Pacific
3877752751,True,The default weather app on your phone,-,Somewhat likely,45 - 59,Female,"$10,000 to $24,999",Pacific
3877751637,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$75,000 to $99,999",Pacific
3877750962,True,Local TV News,-,Somewhat unlikely,45 - 59,Female,"$50,000 to $74,999",East South Central
3877750724,False,The Weather Channel,-,Very likely,30 - 44,Female,"$25,000 to $49,999",East South Central
3877748205,False,Internet search,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",New England
3877747724,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$10,000 to $24,999",East North Central
3877746061,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$0 to $9,999",East South Central
3877744514,True,The Weather Channel,-,Very likely,18 - 29,Female,"$10,000 to $24,999",East North Central
3877744055,True,Newspaper,-,Very unlikely,60+,Male,Prefer not to answer,Pacific
3877743862,True,A specific website or app (please provide the answer),Weather.com,Very likely,45 - 59,Female,Prefer not to answer,South Atlantic
3877741292,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$50,000 to $74,999",East North Central
3877740013,False,A specific website or app (please provide the answer),Default iPhone app,Very likely,18 - 29,Female,"$200,000 and up",East North Central
3877739642,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$25,000 to $49,999",New England
3877739070,False,Local TV News,-,Somewhat unlikely,60+,Male,"$100,000 to $124,999",East North Central
3877737885,True,Internet search,-,Very unlikely,60+,Male,"$75,000 to $99,999",East North Central
3877735171,True,Internet search,-,Very likely,45 - 59,Male,"$200,000 and up",Mountain
3877732662,False,Local TV News,-,Somewhat likely,45 - 59,Female,"$10,000 to $24,999",East South Central
3877732160,True,A specific website or app (please provide the answer),Google now,Somewhat likely,30 - 44,Female,"$150,000 to $174,999",West South Central
3877731939,True,The Weather Channel,-,Somewhat unlikely,45 - 59,Male,"$100,000 to $124,999",Pacific
3877729075,True,The Weather Channel,-,Very likely,45 - 59,Female,"$100,000 to $124,999",-
3877728804,True,The default weather app on your phone,-,Very likely,60+,Male,"$125,000 to $149,999",Pacific
3877728487,True,The Weather Channel,-,Very unlikely,18 - 29,Female,"$25,000 to $49,999",Middle Atlantic
3877728042,True,The default weather app on your phone,-,Somewhat unlikely,45 - 59,Female,Prefer not to answer,West South Central
3877727777,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$100,000 to $124,999",West North Central
3877726824,False,Local TV News,-,Very unlikely,45 - 59,Female,Prefer not to answer,South Atlantic
3877724934,False,The Weather Channel,-,Very unlikely,60+,Female,"$25,000 to $49,999",West North Central
3877723968,True,Internet search,-,Somewhat likely,60+,Male,Prefer not to answer,West North Central
3877723964,False,Internet search,-,Very unlikely,30 - 44,Female,"$25,000 to $49,999",Pacific
3877723322,True,A specific website or app (please provide the answer),Weather Underground,Very unlikely,45 - 59,Male,"$150,000 to $174,999",New England
3877722749,True,Local TV News,-,Very likely,18 - 29,Female,"$25,000 to $49,999",East North Central
3877721796,True,Local TV News,-,Very unlikely,45 - 59,Female,Prefer not to answer,South Atlantic
3877721262,True,A specific website or app (please provide the answer),Chrome app,Very likely,30 - 44,Female,"$75,000 to $99,999",East North Central
3877720994,True,The default weather app on your phone,-,Very likely,30 - 44,Female,"$200,000 and up",Middle Atlantic
3877720618,True,A specific website or app (please provide the answer),Accuweather,Somewhat likely,18 - 29,Female,Prefer not to answer,Middle Atlantic
3877719327,True,Local TV News,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Middle Atlantic
3877715614,True,Internet search,-,Somewhat unlikely,30 - 44,Female,"$50,000 to $74,999",Mountain
3877714285,False,Local TV News,-,Somewhat likely,60+,Male,Prefer not to answer,East South Central
3877713514,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$0 to $9,999",Mountain
3877710759,True,Local TV News,-,Somewhat likely,60+,Male,"$75,000 to $99,999",Middle Atlantic
3877709429,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877709396,True,Local TV News,-,Very unlikely,30 - 44,Female,"$75,000 to $99,999",Middle Atlantic
3877709203,False,Internet search,-,Somewhat likely,30 - 44,Female,"$75,000 to $99,999",South Atlantic
3877705805,True,The Weather Channel,-,Very likely,30 - 44,Female,"$100,000 to $124,999",South Atlantic
3877705747,False,The Weather Channel,-,Very likely,30 - 44,Female,"$25,000 to $49,999",East North Central
3877705621,False,Internet search,-,Very unlikely,18 - 29,Female,Prefer not to answer,Pacific
3877705489,True,The default weather app on your phone,-,Very likely,18 - 29,Male,"$50,000 to $74,999",Mountain
3877705171,True,The Weather Channel,-,Very likely,60+,Female,"$50,000 to $74,999",Pacific
3877705053,True,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$10,000 to $24,999",East North Central
3877703334,True,The Weather Channel,-,Somewhat unlikely,18 - 29,Female,"$10,000 to $24,999",Mountain
3877702652,True,A specific website or app (please provide the answer),Apple Weather App,Very likely,18 - 29,Female,Prefer not to answer,West South Central
3877699575,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$200,000 and up",West North Central
3877698507,False,The default weather app on your phone,-,Very unlikely,18 - 29,Female,Prefer not to answer,South Atlantic
3877696556,True,Radio weather,-,Very unlikely,60+,Male,Prefer not to answer,East North Central
3877694816,True,A specific website or app (please provide the answer),National Weather Service site,Somewhat unlikely,60+,Male,"$200,000 and up",East South Central
3877693629,True,The Weather Channel,-,Very unlikely,60+,Male,"$50,000 to $74,999",Middle Atlantic
3877693173,True,The default weather app on your phone,-,Very unlikely,30 - 44,Female,"$200,000 and up",Mountain
3877691632,True,Local TV News,-,Very unlikely,30 - 44,Female,"$100,000 to $124,999",East South Central
3877689877,False,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$75,000 to $99,999",West South Central
3877689618,True,The Weather Channel,-,Somewhat likely,60+,Female,"$75,000 to $99,999",Mountain
3877689598,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$150,000 to $174,999",South Atlantic
3877688523,True,The Weather Channel,-,Very likely,30 - 44,Female,"$125,000 to $149,999",Pacific
3877686918,False,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",West South Central
3877686413,True,The Weather Channel,-,Somewhat likely,18 - 29,Female,"$75,000 to $99,999",Mountain
3877685833,True,Local TV News,-,Very likely,45 - 59,Male,"$100,000 to $124,999",South Atlantic
3877685611,False,Internet search,-,Very likely,18 - 29,Female,"$10,000 to $24,999",South Atlantic
3877685103,False,The default weather app on your phone,-,Somewhat likely,30 - 44,Female,"$100,000 to $124,999",Mountain
3877684867,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$50,000 to $74,999",South Atlantic
3877682778,True,The Weather Channel,-,Very likely,18 - 29,Male,Prefer not to answer,West South Central
3877682733,False,Newspaper,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",South Atlantic
3877679711,True,Local TV News,-,Somewhat likely,60+,Male,"$50,000 to $74,999",East South Central
3877679528,True,Local TV News,-,Very likely,60+,Female,"$25,000 to $49,999",East South Central
3877675285,True,Local TV News,-,Somewhat likely,60+,Male,"$75,000 to $99,999",West North Central
3877674431,False,The default weather app on your phone,-,Very unlikely,18 - 29,Female,"$175,000 to $199,999",New England
3877673406,True,A specific website or app (please provide the answer),Iphone weather app,Somewhat likely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877673386,True,Local TV News,-,Very likely,60+,Female,"$175,000 to $199,999",Pacific
3877671160,False,A specific website or app (please provide the answer),desktop icon,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",Pacific
3877668804,True,The default weather app on your phone,-,Somewhat likely,18 - 29,Female,"$10,000 to $24,999",-
3877668573,True,A specific website or app (please provide the answer),The one that comes on your iphone,Very likely,18 - 29,Female,"$0 to $9,999",New England
3877668518,True,The default weather app on your phone,-,Very likely,18 - 29,Female,"$125,000 to $149,999",New England
3877668411,True,The Weather Channel,-,Somewhat likely,30 - 44,Female,"$150,000 to $174,999",New England
3877666795,True,Local TV News,-,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3877666179,True,Internet search,-,Somewhat likely,60+,Female,Prefer not to answer,West South Central
3877665489,True,A specific website or app (please provide the answer),weather bug,Somewhat likely,45 - 59,Female,"$25,000 to $49,999",East North Central
3877661347,True,Radio weather,-,Somewhat likely,60+,Male,"$75,000 to $99,999",Mountain
3877660370,True,A specific website or app (please provide the answer),the weather channel and local TV kxan,Very likely,60+,Female,"$200,000 and up",West South Central
3877660042,True,The default weather app on your phone,-,Somewhat unlikely,18 - 29,Female,"$25,000 to $49,999",West South Central
3877656203,True,The Weather Channel,-,Somewhat likely,45 - 59,Male,"$50,000 to $74,999",Pacific
3877654524,True,Internet search,-,Very unlikely,18 - 29,Female,Prefer not to answer,-
3877654523,True,A specific website or app (please provide the answer),Accuweather,Very likely,45 - 59,Male,"$75,000 to $99,999",South Atlantic
3877653871,True,A specific website or app (please provide the answer),weather bug,Very likely,45 - 59,Female,"$200,000 and up",South Atlantic
3877653260,True,Local TV News,-,Somewhat likely,60+,Female,"$200,000 and up",West South Central
3877652718,True,Local TV News,-,Very unlikely,60+,Female,Prefer not to answer,Mountain
3877652362,True,A specific website or app (please provide the answer),Wunderground,Very likely,60+,Female,"$25,000 to $49,999",Pacific
3877651261,True,The default weather app on your phone,-,Very likely,45 - 59,Female,"$200,000 and up",South Atlantic
